,OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
22969,24000,Etablissement,1-4XH-58521,Appletree,89536402.0,,En activité,2014-11-06,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,APPLETREE SA,1-4XH-58520,41225572626.0,,,at@appletree-am.com,http://www.appletreesa.ch,quai du Seujet,28,1201,Genève,Genève-Petit-Saconnex,930225027015,Quai du Seujet 28,,Appletree,,,,,2499343.21,1117849.13
22999,23545,Etablissement,1-4XH-49486,1788 Capital,86812121.0,,En activité,2013-08-08,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,1788 Capital S.A.,1-4XH-49485,41223174050.0,,41227321578.0,contact@1788capital.com,http://www.1788capital.com,Rue du Rhône,114,1204,Genève,Genève-Cité,930225024550,Rue du Rhône 114,,1788 Capital,,,,,2500863.5,1117611.33
23006,23552,Etablissement,1-4XH-49517,HMSA,87222159.0,,En activité,2013-10-22,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,3-5 travailleurs,HMSA Sàrl,1-4XH-49516,41223221630.0,,41223221631.0,mlequellenec@hmsa-group.com,https://hmsa-group.com/,Boulevard des Philosophes,5,1205,Genève,Genève,930225021754,Boulevard des Philosophes 5,,HMSA,,,,,2500056.55,1117065.97
23063,23560,Etablissement,1-4XH-45317,Ovan Capital,83984653.0,,En activité,2012-08-03,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Ovan Capital SA,1-4XH-45470,41223107650.0,,41223107651.0,info@ovan-capital.ch,,Rue François-BONIVARD,10,1201,Genève,Genève,930225003046,Rue François-BONIVARD 10,,Ovan Capital,,,,,2500334.24,1118256.84
23357,22378,Etablissement,1-4XH-4887,Kahn & Cie Financial Experts,65780698.0,,En activité,1999-10-08,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Kahn & Cie Financial Experts SA,1-4XH-4868,41228394444.0,,41228394445.0,info@kcfe.com,https://kcfe.com/,La Voie-Creuse,16,1202,Genève,Genève-Petit-Saconnex,930225031904,La Voie-Creuse 16,,Kahn & Cie Financial Experts,,,,,2500030.81,1119549.26
23767,22997,Etablissement,1-4XH-47784,BO'H,85190740.0,,En activité,2013-01-31,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,BO'H SA,1-4XH-47783,41227074181.0,,41227074185.0,info@boh-sa.com,http://www.boh-sa.com,Rue du Mont-Blanc,21,1201,Genève,Genève,930225019483,Rue du Mont-Blanc 21,,BO'H,,,,,2500041.21,1118343.83
23924,23265,Etablissement,1-4XH-48559,Nomad Partners,85110148.0,,En activité,2013-01-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Nomad Partners SA,1-4XH-48791,41223220201.0,,,info@nomad-partners.com,http://www.nomad-partners.com,Rue du Rhône,78,1204,Genève,Genève,930225024539,Rue du Rhône 78,,Nomad Partners,,,,,2500479.2,1117737.91
24061,22552,Etablissement,1-4XH-51438,Strategic asset management,85717058.0,,En activité,2013-03-05,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,STRATEGIC ASSET MANAGEMENT SA,1-4XH-51347,41227372660.0,41794886400.0,41227372665.0,info@iamstrategic.ch,https://www.iamstrategic.ch/,Boulevard Georges-FAVON,19,1204,Genève,Genève,930225010638,Boulevard Georges-FAVON 19,,Strategic asset management,,,,,2499799.49,1117519.87
24498,26164,Etablissement,1-4XH-58935,WFM & Partners,89349302.0,,En activité,2014-10-02,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,WFM & Partners SA,1-4XH-58934,41227074488.0,,41227074489.0,contact@wfm-partners.com,http://www.wfm-partners.com,rue Philippe-PLANTAMOUR,6,1201,Genève,Genève-Cité,930225022468,Rue Philippe-PLANTAMOUR 6,,WFM & Partners,,,,,2500457.3,1118372.43
24612,25936,Etablissement,1-4XH-63710,Global Wealth Advisors,90713282.0,,En activité,2015-03-18,Activité à domicile,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,Sans travailleur,Global Wealth Advisors & Associés SA,1-3KZTMQ,41228300036.0,,41228300037.0,info@globaladvisor.ch,https://www.globaladvisor.ch,Rue de Saint-Léger,2BIS,1205,Genève,Genève-Cité,930225025963,Rue de Saint-Léger 2BIS,,Global Wealth Advisors,,,,,2500178.34,1117016.07
24770,25507,Etablissement,1-4XH-60402,Tempstone capital,87110439.0,,En activité,2013-10-01,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,TEMPSTONE CAPITAL SA,1-4XH-60401,41223110290.0,,41223110289.0,l.schwarcz@tempstonecapital.com,,Place du Molard,9,1204,Genève,Genève,930225019071,Place du Molard 9,,Tempstone capital,,,,,2500384.02,1117687.79
25140,26074,Etablissement,1-4XH-62808,NeoCapital,92876900.0,,En activité,2016-01-06,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,NeoCapital SA,1-4XH-62807,41223122626.0,,,info@ncap.ch,http://www.neo-capital.ch,Rue Verdaine,18,1204,Genève,Genève,930225030185,Rue Verdaine 18,,NeoCapital,,,,,2500520.18,1117449.25
25426,24930,Etablissement,1-4XH-52519,Septimio Capital,87677639.0,,En activité,2013-12-18,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Septimio Capital SA,1-4XH-52427,41225447600.0,,41225447610.0,kb@septimio.ch,,Avenue PICTET-De-ROCHEMONT,7,1207,Genève,Genève-Eaux-Vives,930225021881,Avenue PICTET-De-ROCHEMONT 7,,Septimio Capital,,,,,2501133.3,1117575.22
25503,25201,Etablissement,1-4XH-54298,Premium Assets,84501591.0,,En activité,2012-10-17,Bureau/étude/cabinet,649901,Sociétés d'investissement,,6-9 travailleurs,Premium Assets SA,1-4XH-54297,41228108100.0,,41228108101.0,team@premium-assets.ch,http://www.premium-assets.ch,quai Gustave-ADOR,30,1207,Genève,Genève-Eaux-Vives,930225000095,Quai Gustave-ADOR 30,,Premium Assets,,,,,2501188.07,1117949.11
25605,24709,Etablissement,1-4XH-55575,Valex EMC,89112622.0,,En activité,2014-08-08,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,VALEX EMC FAMILY OFFICE SA,1-4XH-55574,41228177878.0,,41228177887.0,sop@emcge.com,http://www.emcge.com,Place des Alpes,2,1201,Genève,Genève-Cité,930225000423,Place des Alpes 2,,Valex EMC,,,,,2500396.33,1118346.64
25889,25234,Etablissement,1-4XH-51133,White Oak asset management,85407414.0,,En activité,2013-02-26,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,WHITE OAK ASSET MANAGEMENT SA,1-4XH-51132,41225181740.0,,,info@whiteoakam.com,http://www.whiteoakam.com,Rue du Rhône,17,1204,Genève,Genève-Cité,930225024515,Rue du Rhône 17,,White Oak asset management,,,,,2500162.02,1117843.47
25993,24806,Etablissement,1-4XH-54396,Atlantic Gestion,84651720.0,,En activité,2012-11-08,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,ATLANTIC GESTION SA,1-4XH-54395,41227352211.0,,,info@atlanticgestion.com,https://www.atlanticgestion.com,Rue des Pierres-du-Niton,17,1207,Genève,Genève,930225022052,Rue des Pierres-du-Niton 17,,Atlantic Gestion,,,,,2501074.28,1117737.42
26083,25250,Etablissement,1-4XH-54960,CRISTAL CAPITAL,86754407.0,,En activité,2013-07-25,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,1-2 travailleurs,CRISTAL CAPITAL SA,1-4XH-54959,41789641010.0,,,,https://www.cristalcapital.ch,Rue de l'Arquebuse,14,1204,Genève,Genève,930225000989,Rue de l'Arquebuse 14,,CRISTAL CAPITAL,,,,,2499709.5,1117602.8
26216,24355,Etablissement,1-4XH-57781,Reliance Trust Company,88615466.0,,En activité,2014-04-15,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,20-49 travailleurs,Reliance Trust Company SA,1-4XH-57780,41228170330.0,,,,http://www.reliancetrustgroup.com,Rue De-CANDOLLE,19,1205,Genève,Genève-Cité,930225004144,Rue De-CANDOLLE 19,,Reliance Trust Company,,,,,2500297.71,1116986.72
26319,25150,Etablissement,1-4XH-53553,Perennium,87270828.0,,En activité,2013-10-30,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Perennium SA,1-4XH-53552,41225522550.0,,,contact@perennium.com,http://www.perennium.com,Rue Charles-BONNET,4,1206,Genève,Genève-Cité,930225003055,Rue Charles-BONNET 4,,Perennium,,,,,2500561.56,1117037.9
26685,27517,Etablissement,1-4XH-91811,T + M Management Services,53105290.0,,En activité,1983-08-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,T + M Management Services SA,1-4XH-91810,41227378200.0,,41227378250.0,mail@t-plus-m.com,,Rue Adrien-LACHENAL,20,1207,Genève,Genève,930225015934,Rue Adrien-LACHENAL 20,,T + M Management Services,,,,,2500994.17,1117299.4
26970,28046,Etablissement,1-4XH-62676,Woodstone Capital,92660466.0,,En activité,2015-12-04,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,WOODSTONE CAPITAL SA,1-4XH-62675,41223060806.0,41223060801.0,,contact@wscapital.ch,https://www.wscapital.ch/,Avenue de Champel,8C,1206,Genève,Genève,930225005190,Avenue de Champel 8C,,Woodstone Capital,,,,,2500698.34,1116728.1
27019,27831,Etablissement,1-4XH-90281,Octogone Gestion,53647831.0,,En activité,1986-06-13,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,Octogone Gestion Sàrl,1-4XH-89307,41223203232.0,,41223203336.0,admin@octogone.ch,http://www.octogone.ch,Rue De-CANDOLLE,26,1205,Genève,Genève,930225004148,Rue De-CANDOLLE 26,,Octogone Gestion,,,,,2500188.96,1117064.89
27237,28120,Etablissement,1-4XH-6918,Millenium conseils,65693349.0,,En activité,1999-06-28,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortune,3-5 travailleurs,MILLENIUM CONSEILS ET PLACEMENTS SA,1-4XH-6917,41223196990.0,,41223196995.0,fcc@mille.ch,http://www.mille.ch,Grand-Rue,23,1204,Genève,Genève,930225013622,Grand-Rue 23,,Millenium conseils,,,,,2500228.72,1117529.01
27747,26510,Etablissement,1-4XH-55950,Thriving Finance,89104129.0,,En activité,2014-08-06,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Thriving Finance SA,1-4XH-55949,41223160390.0,,41223160391.0,info@thrivingfinance.com,https://www.thrivingfinance.ch/fr,Rue du Rhône,100,1204,Genève,Genève,930225024548,Rue du Rhône 100,,Thriving Finance,,,,,2500703.47,1117664.61
27973,26833,Etablissement,1-4XH-6154,CAPITAL STRATEGY,65613668.0,,En activité,1999-04-06,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,CAPITAL STRATEGY SA,1-4XH-6153,41228194070.0,,41228194071.0,info@capitalstrategy.net,https://www.capitalstrategy.net,Rue du Général-DUFOUR,12,1204,Genève,Genève,930225012287,Rue du Général-DUFOUR 12,,CAPITAL STRATEGY,,,,,2499855.26,1117540.38
28212,26882,Etablissement,1-4XH-61339,Valoris Gestion,89016635.0,,En activité,2014-07-10,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Valoris Gestion SA,1-4XH-61338,41227350840.0,,41227350889.0,admin@valorisgestion.ch,http://www.valorisgestion.ch,Rue du Rhône,65,1204,Genève,Genève,930225024536,Rue du Rhône 65,,Valoris Gestion,,,,,2500898.2,1117622.24
28259,26639,Etablissement,1-4XH-58679,Advantage Family Office,89576012.0,,En activité,2015-08-12,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Advantage Family Office Services SA,1-4XH-58677,41223201055.0,41792043830.0,,info@advantagefos.com,http://www.advantagefamilyoffice.com,Chemin Frank-THOMAS,10BIS,1208,Genève,Genève-Eaux-Vives,930225028502,Chemin Frank-THOMAS 10BIS,,Advantage Family Office,,,,,2502121.49,1117551.45
28470,29762,Etablissement,1-57MI8X,Aurea Global Investments,19377694.0,,En activité,2024-02-20,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Aurea Global Investments SA,1-4DOMJ2,41225120135.0,,,contact@aureainv.com,https://aureainv.com/,Esplanade de Pont-Rouge,9A,1212,Grand-Lancy,Lancy,181204162748,Esplanade de Pont-Rouge 9A,,Aurea Global Investments,,,,,2498689.45,1115868.09
29349,30423,Etablissement,1-4XH-9434,Segetia Wealth Management,66375889.0,,En activité,2001-01-08,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Segetia Wealth Management SA,1-4XH-9433,41228160050.0,,41228160095.0,info@segetia.com,https://www.segetia.com/,Rue du Rhône,23,1204,Genève,Genève,930225024518,Rue du Rhône 23,,Segetia Wealth Management,,,,,2500300.7,1117813.18
29829,29105,Etablissement,1-55STIU,Spheric Capital,18271070.0,,En activité,2023-07-12,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Spheric Capital SA,1-40C0SM,41223133799.0,,,,https://www.spheric-capital.com/,Place du Molard,9,1204,Genève,Genève-Cité,930225019071,Place du Molard 9,,Spheric Capital,,,,,2500384.02,1117687.79
30006,28864,Etablissement,1-577QXV,Lyra Financial Wealth,19598348.0,,En activité,2024-03-27,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Lyra Financial Wealth SA,1-4GXZ13,41227892727.0,,,info@lyrafw.ch,https://lyrafw.ch/,Rue Rodolphe-TOEPFFER,15,1206,Genève,Genève-Cité,930225028855,Rue Rodolphe-TOEPFFER 15,,Lyra Financial Wealth,,,,,2500863.7,1117154.76
30015,28873,Etablissement,1-57849R,Almada Capital,19377563.0,,En activité,2024-02-15,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Almada Capital Sàrl,1-4DOSDQ,41223101618.0,,,enquiries@almadacap.com,https://almadacap.com/,Rue Jean-PETITOT,2,1204,Genève,Genève-Cité,930225021694,Rue Jean-PETITOT 2,,Almada Capital,,,,,2499799.42,1117671.63
30067,28631,Etablissement,1-4XH-67456,ANTECIME,90884977.0,,En activité,2015-03-31,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,ANTECIME SA,1-4XH-67455,41223180040.0,,41223180041.0,,,Rue du Purgatoire,1,1204,Genève,Genève,930225023957,Rue du Purgatoire 1,,ANTECIME,,,,,2500488.14,1117574.16
30309,28427,Etablissement,1-4XH-67581,Capital Vision,90817127.0,,En activité,2015-03-27,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,Capital Vision SA,1-4XH-67488,41782103858.0,41223101677.0,,operations@capitalvision.ch,https://www.capitalvision.ch/,rue du Rhône,59,1204,Genève,Genève-Cité,930225024532,Rue du Rhône 59,,Capital Vision,,,,,2500800.07,1117653.39
30312,28430,Etablissement,1-4XH-67594,Auris Wealth Management,91438475.0,Philosophes,En activité,2015-06-03,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Auris Wealth Management SA,1-4XH-67593,41225524040.0,,41225524041.0,contact@auriswm.ch,http://www.auriswm.ch,Boulevard des Philosophes,15,1205,Genève,Genève-Cité,930225021763,Boulevard des Philosophes 15,,Auris Wealth Management,,,,,2500137.83,1117013.31
30647,31588,Etablissement,1-4XH-70830,Lakeland Asset Management,93170375.0,,En activité,2016-02-24,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Lakeland Asset Management SA,1-4XH-70829,41227362250.0,,41227362832.0,services@lakeland-am.ch,,Rue François-VERSONNEX,7,1207,Genève,Genève,930225030549,Rue François-VERSONNEX 7,,Lakeland Asset Management,,,,,2500933.47,1117660.94
30881,32120,Etablissement,1-4XH-69531,ALAF Capital,93527651.0,,En activité,2016-04-28,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,ALAF Capital SA,1-4XH-69530,41225668884.0,,,admin@alafcapital.com,https://www.alafcapital.com,Quai des Bergues,23,1201,Genève,Genève,930225002213,Quai des Bergues 23,,ALAF Capital,,,,,2500169.65,1118035.8
31209,32201,Etablissement,1-4XH-72694,Investivity,92565493.0,,En activité,2015-11-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Investivity SA,1-4XH-72693,41225756690.0,,,contact@investivity.com,https://www.investivity.com,place de Saint-Gervais,1,1201,Genève,Genève-Cité,930225025624,Place de Saint-Gervais 1,,Investivity,,,,,2499956.91,1117986.58
31382,31781,Etablissement,1-4XH-71590,3T Family Office,82195692.0,,En activité,2016-03-23,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,3T Family Office SA,1-4XH-71589,41227321133.0,,41227321144.0,info@3tfamilyoffice.com,https://www.3tfamilyoffice.com,Rue du Conseil-Général,16,1205,Genève,Genève-Cité,930225007666,Rue du Conseil-Général 16,,3T Family Office,,,,,2499981.21,1117211.86
31735,30587,Etablissement,1-4XH-93451,Parficom,63562885.0,,En activité,1996-02-26,Bureau/étude/cabinet,702200,Conseil pour les affaires et autres conseils de gestion,,1-2 travailleurs,Ninety-Six Partners SA,1-4XH-93450,41228278996.0,,,,https://www.ninetysixpartners.ch/,Place de Pont-Rouge,1,1212,Grand-Lancy,Lancy,160317141445,Place de Pont-Rouge 1,,Parficom,,,,,2498555.5,1115927.27
32176,31503,Etablissement,1-EJD8O,SingAlliance,96238907.0,,En activité,2017-07-26,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,SingAlliance (Switzerland) SA,1-4XH-77601,41225188585.0,,41225188586.0,info.switzerland@singalliance.com,https://singalliance.com,Rue du Mont-de-Sion,6,1206,Genève,Genève-Cité,930225019579,Rue du Mont-de-Sion 6,,SingAlliance,,,,,2500801.81,1117024.78
32348,31264,Etablissement,1-4XH-71696,Capital Vision Wealth Management,93035132.0,,En activité,2016-02-03,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Capital Vision Wealth Management SA,1-4XH-71695,41227315741.0,41223101817.0,,info@capitalvision.ch,,rue du Rhône,59,1204,Genève,Genève-Cité,930225024532,Rue du Rhône 59,,Capital Vision Wealth Management,,,,,2500800.07,1117653.39
32355,31271,Etablissement,1-CL05L,Altitude Investement Solutions,96516879.0,,En activité,2017-09-28,Bureau/étude/cabinet,661200,Courtage de valeurs mobilières et de marchandises,,10-19 travailleurs,ALTITUDE INVESTMENT SOLUTIONS SA,1-4XH-74689,41227005201.0,,41227005205.0,massina.douadi@altitude-is.ch,https://www.altitude-is.ch,Rue Ami-LULLIN,12,1207,Genève,Genève-Cité,930225016893,Rue Ami-LULLIN 12,,Altitude Investement Solutions,,,,,2500890.13,1117315.7
32533,31037,Etablissement,1-G84GC,Clarity Partners,96477387.0,,En activité,2019-01-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Clarity Partners SA,1-4XH-74945,41585013000.0,41786717657.0,,laurent.maury@claritypartners.ch,https://www.claritypartners.ch/,Rue de Saint-Léger,8,1205,Genève,Genève-Cité,930225025968,Rue de Saint-Léger 8,,Clarity Partners,,,,,2500237.42,1117074.6
32719,33871,Etablissement,1-4XH-79358,AIS Alternative Investment Solutions,93817131.0,,En activité,2016-06-27,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,10-19 travailleurs,Alternative Investment Solutions SA,1-4XH-79265,41225524001.0,,,info@aisfg.com,https://www.aisfg.com,Rue du Rhône,67,1207,Genève,Genève-Cité,930225024537,Rue du Rhône 67,,AIS Alternative Investment Solutions,,,,,2500963.85,1117601.42
32775,33654,Etablissement,1-4XH-79565,Platinum Swiss Partners,93959385.0,,En activité,2016-07-20,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Platinum Swiss Partners SA,1-4XH-79564,41223187700.0,,41223187709.0,info@platinumswisspartners.ch,,Rue du Marché,20,1204,Genève,Genève-Cité,930225017949,Rue du Marché 20,,Platinum Swiss Partners,,,,,2500273.6,1117663.91
33212,34458,Etablissement,1-4XH-79812,D&S Wealth Management,93900994.0,,En activité,2016-07-11,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,D&S Wealth Management SA,1-4XH-79811,41223293329.0,,41223293371.0,pascale.deville@ds-wm.com,,Rue Adrien-LACHENAL,20,1207,Genève,Genève-Cité,930225015934,Rue Adrien-LACHENAL 20,,D&S Wealth Management,,,,,2500994.17,1117299.4
33491,33563,Etablissement,1-4XH-83576,Stephen Berent,45911132.0,,En activité,1979-04-04,Bureau/étude/cabinet,464802,Commerce de gros de bijouterie,Commerce de pierres précieuses et bijouterie,1-2 travailleurs,Stephen Berent,1-4XH-83484,41223210505.0,,,,,Rue De-CANDOLLE,6,1205,Genève,Genève,930225004133,Rue De-CANDOLLE 6,,Stephen Berent,,,,,2500048.59,1117206.36
33523,34400,Etablissement,1-4XH-78710,Capitalium Advisors,93834928.0,,En activité,2016-06-29,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Capitalium Advisors SA,1-4XH-78709,41225446300.0,,41225446309.0,info@capitaliumadvisors.ch,http://www.capitaliumadvisors.ch,Rue de la Pélisserie,16,1204,Genève,Genève,930225021149,Rue de la Pélisserie 16,,Capitalium Advisors,,,,,2500226.23,1117597.25
33559,33357,Etablissement,1-4XH-80531,Rhone Trustees,53075133.0,,En activité,1979-03-02,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,6-9 travailleurs,Rhone Trustees (Switzerland) SA,1-4XH-80530,41227109100.0,,41227109101.0,contact.geneva@rhoneservices.com,http://www.rhoneservices.com,Rue Adrien-LACHENAL,20,1207,Genève,Genève,930225015934,Rue Adrien-LACHENAL 20,,Rhone Trustees,,,,,2500994.17,1117299.4
33877,33546,Etablissement,1-4XH-83302,Renalco,45997889.0,,En activité,1980-04-11,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Renalco SA,1-4XH-83211,41223211700.0,,41227811159.0,info@renalco.ch,https://renalco.ch/,Rue du Général-DUFOUR,15,1204,Genève,Genève,930225012289,Rue du Général-DUFOUR 15,,Renalco,,,,,2499909.63,1117472.81
34523,32583,Etablissement,1-4XH-72807,AMS Asset Management Services,92637226.0,,En activité,2015-12-02,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,AMS - Asset Management Services (Suisse) SA,1-4XH-72806,41227313263.0,,,,http://www.asset-ms.ch,Rue de la Fontaine,15,1204,Genève,Genève,930225011316,Rue de la Fontaine 15,,AMS Asset Management Services,,,,,2500509.17,1117475.34
34864,35723,Etablissement,1-4XH-9771,Synergy Asset Management,66322426.0,,En activité,2000-12-05,Bureau/étude/cabinet,663002,Gestion de fonds,Conseils dans le domaine des investissements,3-5 travailleurs,Synergy Asset Management SA,1-4XH-9770,41223462727.0,,,info@synergy-wealthgroup.com,https://synergy-wealthgroup.com,Rue François-BELLOT,7,1206,Genève,Genève,930225002119,Rue François-BELLOT 7,,Synergy Asset Management,,,,,2500689.3,1117143.44
35230,36514,Etablissement,1-6TOIP,Finsight,94847326.0,,En activité,2018-07-13,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,FINSIGHT SA,1-4XH-79829,41225525220.0,41798121010.0,,contact@finsight.ch,https://finsight.ch,quai du Mont-Blanc,27,1201,Genève,Genève-Cité,930225019462,Quai du Mont-Blanc 27,,Finsight,,,,,2500715.36,1118549.44
35330,36060,Etablissement,1-4XH-9605,MAG Asset Management,66194599.0,,En activité,2000-09-11,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Necker Finance (Suisse) SA,1-4XH-9604,41227870790.0,41223102818.0,41227870792.0,mag@mag-am.ch,http://www.mag-am.ch,Rue de Hesse,8,1204,Genève,Genève-Cité,930225042156,Rue de Hesse 8,,MAG Asset Management,,,,,2499827.36,1117563.11
35473,36102,Etablissement,1-4XH-95006,Aura Consult,62680010.0,,En activité,1993-11-18,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion et conseils financiers,1-2 travailleurs,Aura Consult SA,1-4XH-95005,41223185900.0,,,executions@auraconsult.com,,Avenue Louis-CASAÏ,18,1209,Genève,Genève,930225004622,Avenue Louis-CASAÏ 18,,Aura Consult,,,,,2497872.57,1119534.67
35944,34694,Etablissement,1-UHY4X,Alliance Partners,97502867.0,,En activité,2018-04-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Alliance Partners SA,1-2UPZV,41227150070.0,,,,http://www.alliance-partners.ch,Rue Verdaine,11,1204,Genève,Genève-Cité,930225030179,Rue Verdaine 11,,Alliance Partners,,,,,2500545.42,1117461.01
35949,34699,Etablissement,1-UI74J,SPEARVEST,97967418.0,,En activité,2018-06-12,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,SPEARVEST SA,1-56LM0,41223185970.0,,,info@spearvest.com,http://www.spearvest.com,Rue du Commerce,4,1204,Genève,Genève-Cité,150413144027,Rue du Commerce 4,,SPEARVEST,,,,,2500147.13,1117777.82
35990,35257,Etablissement,1-VAU3X,Agave Advisors,97279716.0,,En activité,2018-03-12,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Agave Advisors SA,1-4XH-81672,41229002244.0,41793690688.0,,wecare@agave-advisors.com,http://agave-advisors.com,Rue de la Croix-d'Or,17A,1204,Genève,Genève,930225008686,Rue de la Croix-d'Or 17A,,Agave Advisors,,,,,2500475.01,1117648.34
36107,35008,Etablissement,1-R0561,Alkimia,97458422.0,,En activité,2019-08-20,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Alkimia SA,1-2WH99,41227184860.0,,,info@alkimia.ch,,Rue du Général-DUFOUR,22,1204,Genève,Genève-Cité,930225012295,Rue du Général-DUFOUR 22,,Alkimia,,,,,2499946.85,1117348.39
36290,35044,Etablissement,1-R05I1,SKD Wealth Management,97415738.0,,En activité,2018-04-04,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,SKD Wealth Management SA,1-4XH-91251,41225662514.0,41794791884.0,,info@skd-wealth.com,https://skd-wealth.ch,Avenue De-BUDÉ,1,1202,Genève,Genève-Petit-Saconnex,930225003792,Avenue De-BUDÉ 1,,SKD Wealth Management,,,,,2499121.74,1120035.06
36361,35066,Etablissement,1-4XH-96808,NextGen Wealth Managers,62093173.0,,En activité,1991-12-03,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de patrimoine,10-19 travailleurs,NextGen Wealth Managers SA,1-4XH-96807,41223196959.0,,,welcome@nextgen-wm.ch,https://nextgen-wm.ch/,Rue du Mont-de-Sion,8,1206,Genève,Genève-Cité,930225019580,Rue du Mont-de-Sion 8,,NextGen Wealth Managers,,,,,2500812.67,1117035.53
36419,34825,Etablissement,1-RWMVH,Urban Advisors,96617157.0,,En activité,2017-10-25,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Urban Advisors SA,1-4XH-73894,41225667702.0,,41225667710.0,contact@urbanadvisors.ch,http://www.urbanadvisors.ch,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,Urban Advisors,,,,,2500339.97,1118136.74
